TF_	TF_information	target	Target_info	interaction_type
AATF	TF	BAX	Tar	Repression
AATF	TF	CDKN1A	Tar	Unknown
AATF	TF	KLK3	Tar	Unknown
AATF	TF	MYC	Tar	Activation
AATF	TF	TP53	Tar	Unknown
ABL1	TF	BAX	Tar	Activation
ABL1	TF	BCL2	Tar	Repression
ABL1	TF	BCL6	Tar	Repression
ABL1	TF	CCND2	Tar	Activation
ABL1	TF	CDKN1A	Tar	Activation
ABL1	TF	CSF1	Tar	Activation
ABL1	TF	CSF1	Tar	Unknown
ABL1	TF	FOXO3	Tar	Activation
ABL1	TF	JUN	Tar	Activation
ABL1	TF	JUN	Tar	Repression
ABL1	TF	PIM1	Tar	Activation
ABL1	TF	TP53	Tar	Activation
AES	TF	EPHA3	Tar	Unknown
AES	TF	LEF1	Tar	Activation
AES	TF	RND3	Tar	Activation
AHR	TF	ABCG2	Tar	Unknown
AHR	TF	AHRR	Tar	Activation
AHR	TF	ARNT	Tar	Unknown
AHR	TF	BRCA1	Tar	Unknown
AHR	TF	CA9	Tar	Repression
AHR	TF	CCND1	Tar	Unknown
AHR	TF	CCNG2	Tar	Activation
AHR	TF	CYP1A1	Tar	Activation
AHR	TF	CYP1A1	Tar	Repression
AHR	TF	CYP1A1	Tar	Unknown
AHR	TF	CYP1A2	Tar	Unknown
AHR	TF	CYP1B1	Tar	Activation
AHR	TF	CYP1B1	Tar	Unknown
AHR	TF	CYP2B6	Tar	Unknown
AHR	TF	FOS	Tar	Unknown
AHR	TF	IL13	Tar	Unknown
AHR	TF	IL1B	Tar	Unknown
AHR	TF	IL6	Tar	Activation
AHR	TF	IL6	Tar	Unknown
AHR	TF	MFSD2A	Tar	Unknown
AHR	TF	MT2A	Tar	Unknown
AHR	TF	MYC	Tar	Unknown
AHR	TF	PCNA	Tar	Activation
AHR	TF	RFC3	Tar	Activation
AHR	TF	UGT1A1	Tar	Activation
AHR	TF	UGT1A6	Tar	Unknown
AIP	TF	AHR	Tar	Activation
AIP	TF	GREB1	Tar	Repression
AIP	TF	NFKB2	Tar	Repression
AIP	TF	RSF1	Tar	Repression
AIP	TF	TFF1	Tar	Repression
AIRE	TF	CHRNA1	Tar	Unknown
ANKRD1	TF	NPPA	Tar	Repression
APBB1	TF	GMPS	Tar	Repression
APC	TF	AKT1	Tar	Repression
APC	TF	AMHR2	Tar	Repression
APC	TF	BIRC5	Tar	Unknown
APC	TF	DLG1	Tar	Unknown
APC	TF	DNMT1	Tar	Repression
APC	TF	F8	Tar	Unknown
APC	TF	KLF4	Tar	Unknown
APC	TF	MYC	Tar	Repression
APC	TF	NOS2	Tar	Activation
APC	TF	ODC1	Tar	Repression
APC	TF	PTGS2	Tar	Repression
APC	TF	PTGS2	Tar	Unknown
APC	TF	SGK1	Tar	Repression
APEX1	TF	CCL2	Tar	Activation
APEX1	TF	CD19	Tar	Activation
APEX1	TF	CYP11B2	Tar	Repression
APEX1	TF	NFKB1	Tar	Activation
APEX1	TF	PTH	Tar	Repression
APEX1	TF	RELA	Tar	Activation
APEX1	TF	SLC5A5	Tar	Activation
AR	TF	ACTA1	Tar	Activation
AR	TF	AKR1C3	Tar	Repression
AR	TF	AKT1	Tar	Activation
AR	TF	AKT1	Tar	Repression
AR	TF	ALDH1A3	Tar	Unknown
AR	TF	ARG1	Tar	Activation
AR	TF	ARG2	Tar	Activation
AR	TF	ATAD2	Tar	Unknown
AR	TF	BSG	Tar	Unknown
AR	TF	BTG1	Tar	Repression
AR	TF	BTG2	Tar	Repression
AR	TF	CDK20	Tar	Activation
AR	TF	CDC6	Tar	Activation
AR	TF	CDC6	Tar	Unknown
AR	TF	CDH1	Tar	Repression
AR	TF	CDH11	Tar	Unknown
AR	TF	CDH2	Tar	Activation
AR	TF	CDK20	Tar	Activation
AR	TF	CDK6	Tar	Unknown
AR	TF	CDKN1A	Tar	Activation
AR	TF	CDKN1A	Tar	Repression
AR	TF	CLK3	Tar	Repression
AR	TF	CRH	Tar	Repression
AR	TF	CRISP1	Tar	Unknown
AR	TF	CRISP3	Tar	Unknown
AR	TF	CTNNB1	Tar	Activation
AR	TF	CYP7B1	Tar	Repression
AR	TF	EGFR	Tar	Activation
AR	TF	ELK4	Tar	Unknown
AR	TF	EP300	Tar	Activation
AR	TF	ERBB2	Tar	Activation
AR	TF	ERBB2	Tar	Unknown
AR	TF	ERBB3	Tar	Activation
AR	TF	ETV1	Tar	Activation
AR	TF	FKBP4	Tar	Unknown
AR	TF	FN1	Tar	Unknown
AR	TF	FOLH1	Tar	Unknown
AR	TF	FOXA1	Tar	Unknown
AR	TF	GNMT	Tar	Unknown
AR	TF	GREB1	Tar	Unknown
AR	TF	GTF2F1	Tar	Unknown
AR	TF	HMMR	Tar	Unknown
AR	TF	HMOX1	Tar	Activation
AR	TF	IFI16	Tar	Unknown
AR	TF	IGF1R	Tar	Activation
AR	TF	IGFBP3	Tar	Unknown
AR	TF	JUN	Tar	Activation
AR	TF	KISS1	Tar	Activation
AR	TF	KISS1R	Tar	Activation
AR	TF	KLF5	Tar	Unknown
AR	TF	KLK1	Tar	Unknown
AR	TF	KLK2	Tar	Unknown
AR	TF	KLK3	Tar	Activation
AR	TF	KLK3	Tar	Repression
AR	TF	KLK3	Tar	Unknown
AR	TF	KLK4	Tar	Unknown
AR	TF	MED1	Tar	Unknown
AR	TF	MID1	Tar	Unknown
AR	TF	MUC1	Tar	Repression
AR	TF	MYC	Tar	Unknown
AR	TF	NAT1	Tar	Activation
AR	TF	NDRG1	Tar	Unknown
AR	TF	NFKB1	Tar	Repression
AR	TF	NKX3-1	Tar	Activation
AR	TF	NKX3-1	Tar	Unknown
AR	TF	NOV	Tar	Unknown
AR	TF	NRAS	Tar	Repression
AR	TF	PC	Tar	Activation
AR	TF	PSCA	Tar	Unknown
AR	TF	PEBP1	Tar	Unknown
AR	TF	PIGR	Tar	Unknown
AR	TF	PIP	Tar	Unknown
AR	TF	PMEPA1	Tar	Unknown
AR	TF	PNRC1	Tar	Unknown
AR	TF	KLK3	Tar	Unknown
AR	TF	PTEN	Tar	Activation
AR	TF	PTEN	Tar	Unknown
AR	TF	PTGS2	Tar	Repression
AR	TF	PTPN1	Tar	Unknown
AR	TF	RELA	Tar	Repression
AR	TF	REST	Tar	Repression
AR	TF	SEPT7	Tar	Repression
AR	TF	SERPINB5	Tar	Repression
AR	TF	SESN1	Tar	Unknown
AR	TF	SRD5A3	Tar	Unknown
AR	TF	STIM1	Tar	Unknown
AR	TF	TBP	Tar	Unknown
AR	TF	TCF7L2	Tar	Unknown
AR	TF	TGFA	Tar	Activation
AR	TF	TH	Tar	Activation
AR	TF	TJP1	Tar	Activation
AR	TF	TMPRSS2	Tar	Activation
AR	TF	TMPRSS2	Tar	Unknown
AR	TF	TRPS1	Tar	Unknown
AR	TF	TSC1	Tar	Repression
AR	TF	TSC2	Tar	Repression
AR	TF	UCN	Tar	Repression
AR	TF	UGT2B15	Tar	Unknown
AR	TF	USP26	Tar	Unknown
AR	TF	VEGFA	Tar	Activation
AR	TF	VEGFA	Tar	Unknown
AR	TF	VIM	Tar	Repression
AR	TF	WEE1	Tar	Repression
AR	TF	WNT7B	Tar	Activation
AR	TF	XIAP	Tar	Repression
ARID1A	TF	CDKN1A	Tar	Unknown
ARID1A	TF	IGH	Tar	Activation
ARID1A	TF	SMAD3	Tar	Unknown
ARID1B	TF	IGH	Tar	Activation
ARID3A	TF	CDC6	Tar	Unknown
ARID3A	TF	CDK1	Tar	Unknown
ARID3A	TF	CR2	Tar	Unknown
ARID3A	TF	E2F1	Tar	Unknown
ARID3A	TF	PML	Tar	Activation
ARID3A	TF	RBL1	Tar	Unknown
ARNT	TF	AHR	Tar	Unknown
ARNT	TF	BHLHE40	Tar	Unknown
ARNT	TF	BRCA1	Tar	Unknown
ARNT	TF	CA9	Tar	Activation
ARNT	TF	CCNE1	Tar	Repression
ARNT	TF	CDK2	Tar	Repression
ARNT	TF	CTSD	Tar	Unknown
ARNT	TF	CYP1A1	Tar	Activation
ARNT	TF	CYP1A1	Tar	Unknown
ARNT	TF	CYP1B1	Tar	Activation
ARNT	TF	CYP1B1	Tar	Unknown
ARNT	TF	EGLN2	Tar	Unknown
ARNT	TF	EPO	Tar	Activation
ARNT	TF	ESR1	Tar	Unknown
ARNT	TF	FOS	Tar	Repression
ARNT	TF	GAD1	Tar	Unknown
ARNT	TF	HIF1A	Tar	Activation
ARNT	TF	JUN	Tar	Repression
ARNT	TF	MFSD2A	Tar	Unknown
ARNT	TF	RELB	Tar	Unknown
ARNT	TF	UGT1A6	Tar	Unknown
ARNT	TF	VEGFA	Tar	Unknown
ARNTL	TF	BHLHE40	Tar	Activation
ARNTL	TF	CRY1	Tar	Activation
ARNTL	TF	CRY1	Tar	Unknown
ARNTL	TF	CRY2	Tar	Activation
ARNTL	TF	CRY2	Tar	Unknown
ARNTL	TF	PER1	Tar	Activation
ARNTL	TF	PER1	Tar	Unknown
ARNTL	TF	PER2	Tar	Activation
ARNTL	TF	PER2	Tar	Unknown
ARNTL	TF	PER3	Tar	Activation
ARNTL2	TF	SERPINE1	Tar	Activation
ARX	TF	KDM5C	Tar	Unknown
ARX	TF	LMO1	Tar	Unknown
ARX	TF	PAX4	Tar	Unknown
ARX	TF	SHOX2	Tar	Unknown
ASCL1	TF	CHRNA3	Tar	Unknown
ASCL1	TF	CHRNA5	Tar	Unknown
ASCL1	TF	CHRNB4	Tar	Unknown
ASCL1	TF	DKK1	Tar	Repression
ASCL1	TF	IGF2	Tar	Repression
ASCL1	TF	PCSK6	Tar	Repression
ASCL1	TF	TPH1	Tar	Repression
ASH1L	TF	TGFB1	Tar	Unknown
ASH1L	TF	TIMP1	Tar	Unknown
ASXL1	TF	FABP4	Tar	Unknown
ATF1	TF	BCL2	Tar	Unknown
ATF1	TF	CCNA1	Tar	Repression
ATF1	TF	CFTR	Tar	Activation
ATF1	TF	CGA	Tar	Unknown
ATF1	TF	CYP11B1	Tar	Unknown
ATF1	TF	CYP11B2	Tar	Unknown
ATF1	TF	ERBB2	Tar	Unknown
ATF1	TF	FLT1	Tar	Unknown
ATF1	TF	FTH1	Tar	Activation
ATF1	TF	FTH1	Tar	Repression
ATF1	TF	GABPA	Tar	Unknown
