Hugo Symbol	Is Oncogene	Is Tumor Suppressor Gene	OG_TSG
ABL1	Yes	No	OG
AKT1	Yes	No	OG
ALK	Yes	No	OG
AMER1	No	Yes	TSG
APC	No	Yes	TSG
AR	Yes	No	OG
ARID1A	No	Yes	TSG
ASXL1	No	Yes	TSG
ATM	No	Yes	TSG
ATRX	No	Yes	TSG
AXIN1	No	Yes	TSG
BAP1	No	Yes	TSG
BCL2	Yes	No	OG
BCOR	No	Yes	TSG
BRAF	Yes	No	OG
BRCA1	No	Yes	TSG
BRCA2	No	Yes	TSG
CARD11	Yes	No	OG
CBL	No	Yes	TSG
CDC73	No	Yes	TSG
CDH1	No	Yes	TSG
CDKN2A	No	Yes	TSG
CEBPA	No	Yes	TSG
CIC	No	Yes	TSG
CREBBP	No	Yes	TSG
CTNNB1	Yes	No	OG
DAXX	No	Yes	TSG
DNMT3A	No	Yes	TSG
EGFR	Yes	No	OG
EP300	No	Yes	TSG
ERBB2	Yes	No	OG
EZH2	Yes	Yes	OG/TSG
FBXW7	No	Yes	TSG
FGFR2	Yes	No	OG
FGFR3	Yes	No	OG
FLT3	Yes	No	OG
FOXL2	Yes	Yes	OG/TSG
GATA3	Yes	Yes	OG/TSG
GNA11	Yes	No	OG
GNAQ	Yes	No	OG
GNAS	Yes	No	OG
HNF1A	No	Yes	TSG
HRAS	Yes	No	OG
IDH1	Yes	No	OG
IDH2	Yes	No	OG
JAK1	Yes	Yes	OG/TSG
JAK2	Yes	No	OG
JAK3	Yes	No	OG
KDM5C	No	Yes	TSG
KDM6A	No	Yes	TSG
KIT	Yes	No	OG
KMT2D	No	Yes	TSG
KRAS	Yes	No	OG
MAP2K1	Yes	No	OG
MAP3K1	No	Yes	TSG
MED12	Yes	Yes	OG/TSG
MEN1	No	Yes	TSG
MET	Yes	No	OG
MLH1	No	Yes	TSG
MPL	Yes	No	OG
MSH2	No	Yes	TSG
MSH6	No	Yes	TSG
MYD88	Yes	No	OG
NF1	No	Yes	TSG
NF2	No	Yes	TSG
NFE2L2	Yes	No	OG
NOTCH1	Yes	Yes	OG/TSG
NOTCH2	Yes	Yes	OG/TSG
NPM1	No	Yes	TSG
NRAS	Yes	No	OG
PAX5	No	Yes	TSG
PBRM1	No	Yes	TSG
PDGFRA	Yes	No	OG
PIK3CA	Yes	No	OG
PIK3R1	No	Yes	TSG
PPP2R1A	No	Yes	TSG
PRDM1	No	Yes	TSG
PTCH1	No	Yes	TSG
PTEN	No	Yes	TSG
PTPN11	Yes	No	OG
RB1	No	Yes	TSG
RET	Yes	No	OG
RNF43	No	Yes	TSG
SETD2	No	Yes	TSG
SF3B1	Yes	No	OG
SMAD2	No	Yes	TSG
SMAD4	No	Yes	TSG
SMARCA4	No	Yes	TSG
SMARCB1	No	Yes	TSG
SMO	Yes	No	OG
SOCS1	No	Yes	TSG
SPOP	No	Yes	TSG
STAG2	No	Yes	TSG
STK11	No	Yes	TSG
TET2	No	Yes	TSG
TNFAIP3	No	Yes	TSG
TP53	No	Yes	TSG
TSC1	No	Yes	TSG
U2AF1	Yes	No	OG
VHL	No	Yes	TSG
WT1	Yes	Yes	OG/TSG
AKT2	Yes	No	OG
ARID2	No	Yes	TSG
ATR	No	Yes	TSG
B2M	No	Yes	TSG
BARD1	No	Yes	TSG
BCL6	Yes	No	OG
BRD4	Yes	No	OG
BRIP1	No	Yes	TSG
BTK	Yes	No	OG
CALR	Yes	No	OG
CASP8	No	Yes	TSG
CBFB	No	Yes	TSG
CCND1	Yes	No	OG
CCND2	Yes	No	OG
CCND3	Yes	No	OG
CCNE1	Yes	No	OG
CD274	Yes	No	OG
CD79A	Yes	No	OG
CD79B	Yes	No	OG
CDK12	No	Yes	TSG
CDK4	Yes	No	OG
CDK6	Yes	No	OG
CDKN1B	No	Yes	TSG
CDKN2C	No	Yes	TSG
CHEK2	No	Yes	TSG
CRLF2	Yes	No	OG
CSF1R	No	No	None
CSF3R	Yes	No	OG
CTCF	No	Yes	TSG
CXCR4	Yes	No	OG
DDR2	Yes	No	OG
ERBB3	Yes	No	OG
ERBB4	Yes	No	OG
ERG	Yes	No	OG
ESR1	Yes	No	OG
ETV6	No	Yes	TSG
FANCA	No	Yes	TSG
FANCC	No	Yes	TSG
FGFR1	Yes	No	OG
FGFR4	Yes	No	OG
FLCN	No	Yes	TSG
FUBP1	No	Yes	TSG
GATA1	No	No	None
GATA2	Yes	No	OG
H3-3A	Yes	No	OG
H3C2	No	No	None
IKZF1	No	No	None
IRF4	Yes	No	OG
JUN	Yes	No	OG
KDM5A	Yes	No	OG
KDR	Yes	No	OG
KEAP1	No	Yes	TSG
KMT2A	No	Yes	TSG
KMT2C	No	Yes	TSG
MAP2K2	Yes	No	OG
MAP2K4	No	Yes	TSG
MAPK1	Yes	No	OG
MDM2	Yes	No	OG
MDM4	Yes	No	OG
MITF	Yes	Yes	OG/TSG
MTOR	Yes	No	OG
MUTYH	No	Yes	TSG
MYC	Yes	No	OG
MYCL	Yes	No	OG
MYCN	Yes	No	OG
NKX2-1	Yes	No	OG
NSD2	Yes	No	OG
NSD3	No	No	None
NTRK1	Yes	No	OG
NTRK3	Yes	No	OG
PALB2	No	Yes	TSG
PDCD1LG2	Yes	No	OG
PDGFRB	Yes	No	OG
PHF6	No	Yes	TSG
PIM1	No	No	None
PRKAR1A	No	No	None
RAD21	No	Yes	TSG
RAF1	Yes	No	OG
RARA	No	No	None
ROS1	Yes	No	OG
RUNX1	No	Yes	TSG
SDHA	No	Yes	TSG
SDHB	No	Yes	TSG
